,caseid_new,children_in_hh,age_difference,race_gap,religious_gap,edu_gap,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,married_w1_married,married_w1_not married,age_gap_bin_0 to 3,age_gap_bin_11 to 20,age_gap_bin_4 to 5,age_gap_bin_6 to 10,age_gap_bin_>=20,same_sex_couple_different sex couple,same_sex_couple_same-sex couple,edu_gap_bin_0 to 2,edu_gap_bin_3 to 4,edu_gap_bin_5 to 6,edu_gap_bin_>6,parental_approval_approve,parental_approval_dont_approve,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor,age_when_met,family_size,region,metro,region_midwest,region_northeast,region_south,region_west,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more,relationship_quality_w1,relationship_len_cat
18,49731,0,7.0,0,1,5.5,0,1,0,0,0,0,0,1,0,0,0,0,2,51.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,20.0,3.0,3,0,0,1,0,0,independent,republican,i earned more,0,1.0,1.0,excellent,top_quartile
19,51376,0,4.0,0,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.5,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,34.0,10.0,0,1,0,0,1,0,democrat,democrat,i earned more,1,1.0,1.0,good,bottom_quartile
20,54415,0,7.0,0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.45,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,41.0,3.0,1,1,0,0,0,1,independent,republican,partner earned more,0,1.0,0.0,good,bottom_quartile
21,55365,4,1.0,0,1,2.0,1,1,0,0,0,0,0,0,0,0,0,0,2,6.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,31.0,3.0,0,1,0,0,1,0,democrat,democrat,partner earned more,1,1.0,0.0,good,bottom_quartile
22,55686,0,32.0,1,1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,2,17.0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,56.0,10.0,1,1,0,0,0,1,independent,democrat,partner earned more,0,1.0,0.0,excellent,second_quartile
23,56536,0,4.0,1,1,1.0,0,0,0,0,1,0,1,1,0,0,0,0,3,15.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,43.0,0.0,1,1,0,0,0,1,democrat,democrat,i earned more,1,1.0,1.0,good,second_quartile
24,58295,0,5.0,0,0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,2,9.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,26.0,0.0,1,1,0,0,0,1,republican,republican,i earned more,1,1.0,1.0,excellent,bottom_quartile
25,60743,0,16.0,0,0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,3,0.15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,73.0,6.0,1,1,0,0,0,1,democrat,democrat,we earned about the same amount,1,0.0,,good,bottom_quartile
26,62283,0,0.0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,26.0,0.0,2,1,1,0,0,0,republican,republican,partner earned more,1,1.0,0.0,good,bottom_quartile
27,64331,1,9.0,1,0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,12.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,26.0,3.0,1,1,0,0,0,1,independent,democrat,partner earned more,0,1.0,0.0,excellent,second_quartile
28,65446,0,3.0,0,1,3.0,1,0,0,0,0,0,0,1,0,0,0,0,2,0.75,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,43.0,0.0,0,1,0,0,1,0,democrat,democrat,partner earned more,1,1.0,0.0,excellent,bottom_quartile
29,66484,0,10.0,0,0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,3,0.75,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,47.0,0.0,0,1,0,0,1,0,independent,democrat,partner earned more,0,1.0,0.0,good,bottom_quartile
30,68546,0,6.0,0,1,1.0,0,1,0,0,0,0,0,0,0,1,0,0,2,25.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,34.0,7.0,2,1,1,0,0,0,democrat,democrat,i earned more,1,1.0,1.0,good,third_quartile
31,69311,1,0.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,1,11.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,25.0,12.0,2,1,1,0,0,0,democrat,democrat,i earned more,1,1.0,1.0,good,second_quartile
32,72515,1,0.0,0,1,0.0,0,0,1,0,0,0,1,1,0,1,0,0,4,11.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,14.0,8.0,2,1,1,0,0,0,republican,republican,partner earned more,1,1.0,0.0,good,second_quartile
33,73603,0,0.0,0,1,5.0,0,0,0,0,0,0,1,1,0,1,0,0,3,29.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,21.0,6.0,2,1,1,0,0,0,no preference,republican,partner earned more,0,1.0,0.0,very poor,third_quartile
34,75621,0,10.0,0,1,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,33.0,1.0,0,0,0,0,1,0,republican,republican,i earned more,1,1.0,1.0,good,top_quartile
35,77256,0,8.0,0,1,2.0,0,1,0,0,0,0,0,0,0,1,0,0,2,10.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,20.0,20.0,2,1,1,0,0,0,democrat,democrat,we earned about the same amount,1,0.0,,excellent,second_quartile
36,78351,0,10.0,0,1,3.0,0,1,1,0,0,0,0,0,1,0,0,0,3,21.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,18.0,2.0,0,1,0,0,1,0,democrat,democrat,i earned more,1,1.0,1.0,good,third_quartile
37,79731,0,14.0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2,31.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,46.0,1.0,2,1,1,0,0,0,democrat,democrat,partner earned more,1,1.0,0.0,good,top_quartile
38,80656,0,1.0,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,2,35.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,35.0,2.0,3,1,0,1,0,0,democrat,democrat,we earned about the same amount,1,0.0,,excellent,top_quartile
39,81286,0,1.0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,25.0,7.0,0,1,0,0,1,0,independent,republican,i earned more,0,1.0,1.0,excellent,bottom_quartile
