,caseid_new,married_w1,children_in_hh,age_difference,age_gap_bin_0_to_3,age_gap_bin_4_to_5,age_gap_bin_6_to_10,age_gap_bin_11_to_20,age_gap_bin_>=20,race_gap,religious_gap,same_sex_couple,parental_approval,edu_gap,edu_gap_bin_0_to_2,edu_gap_bin_3_to_4,edu_gap_bin_5_to_6,edu_gap_bin_>6,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,relationship_len,partner_deceased,relationship_quality_w1_excellent,relationship_quality_w1_fair,relationship_quality_w1_good,relationship_quality_w1_poor,relationship_quality_w1_very poor
33,73603,1,0,0.0,1,0,0,0,0,0,1,0,1,5.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,29.0,0,0,0,0,0,1
34,75621,1,0,10.0,0,0,1,0,0,0,1,0,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.0,0,0,0,1,0,0
35,77256,1,0,8.0,0,0,1,0,0,0,1,0,1,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,10.0,0,1,0,0,0,0
36,78351,1,0,10.0,0,0,1,0,0,0,1,0,1,3.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,21.0,0,0,0,1,0,0
37,79731,1,0,14.0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,31.0,0,0,0,1,0,0
38,80656,0,0,1.0,1,0,0,0,0,0,0,1,1,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,35.0,0,1,0,0,0,0
39,81286,0,0,1.0,1,0,0,0,0,0,1,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0,1,0,0,0,0
40,82431,1,0,10.0,0,0,1,0,0,0,1,0,0,3.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,31.0,0,0,0,1,0,0
41,83431,1,1,1.0,1,0,0,0,0,0,0,0,1,4.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,28.0,0,1,0,0,0,0
42,85281,1,0,5.0,0,1,0,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,15.0,0,1,0,0,0,0
43,86591,1,0,7.0,0,0,1,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,24.0,0,1,0,0,0,0
44,89766,0,0,18.0,0,0,0,1,0,0,1,1,0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,40.0,0,1,0,0,0,0
45,94431,1,0,13.0,0,0,0,1,0,1,1,0,1,2.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,19.0,0,0,0,1,0,0
46,95431,1,3,0.0,1,0,0,0,0,0,0,0,1,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,0,0,1,0,0,0
47,97195,0,0,0.0,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2.45,0,1,0,0,0,0
48,99611,1,0,2.0,1,0,0,0,0,1,0,0,0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,45.0,0,1,0,0,0,0
49,100331,1,0,0.0,1,0,0,0,0,0,1,0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,16.0,0,0,0,1,0,0
50,103545,0,0,2.0,1,0,0,0,0,0,1,0,0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9.0,0,1,0,0,0,0
51,104565,0,0,6.0,0,0,1,0,0,0,0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0,1,0,0,0,0
52,106296,0,0,70.0,0,0,0,0,1,1,0,0,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,1,0,0
53,108381,1,2,1.0,1,0,0,0,0,0,1,0,1,4.0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,4,24.0,0,0,1,0,0,0
54,108501,1,0,2.0,1,0,0,0,0,0,1,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,32.0,0,1,0,0,0,0
55,110316,0,0,5.0,0,1,0,0,0,1,1,1,0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,9.0,0,0,0,1,0,0
56,112646,1,0,0.0,1,0,0,0,0,0,1,1,0,3.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,35.0,0,1,0,0,0,0
57,113235,0,0,3.0,1,0,0,0,0,0,1,0,1,3.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,8.0,0,0,0,1,0,0
58,114276,1,0,2.0,1,0,0,0,0,0,1,0,1,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,10.0,0,1,0,0,0,0
59,115473,0,0,9.0,0,0,1,0,0,0,1,1,0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,11.0,0,0,0,1,0,0
60,116271,1,0,3.0,1,0,0,0,0,0,0,0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.0,0,1,0,0,0,0
61,117401,1,0,,0,0,0,0,0,0,1,0,1,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,4,19.0,0,0,0,1,0,0
62,119371,1,2,10.0,0,0,1,0,0,0,1,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,13.0,0,1,0,0,0,0
63,119663,0,0,11.0,0,0,0,1,0,0,1,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25.0,0,0,0,1,0,0
64,120456,1,0,13.0,0,0,0,1,0,1,1,0,1,5.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,26.0,0,1,0,0,0,0
65,121515,0,0,2.0,1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0,0,0,0,1,0,0
66,122441,1,0,3.0,1,0,0,0,0,0,1,0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29.0,0,1,0,0,0,0
67,125346,0,0,0.0,1,0,0,0,0,0,0,0,0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,6.0,0,0,1,0,0,0
68,126231,1,0,11.0,0,0,0,1,0,1,0,0,1,2.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,11.0,0,1,0,0,0,0
69,128441,1,0,1.0,1,0,0,0,0,0,1,0,1,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,6.5,0,1,0,0,0,0
