,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
152,249441,28.0,0,good,third_quartile
153,250546,18.0,0,excellent,third_quartile
154,251822,58.0,1,excellent,top_quartile
155,253483,10.0,0,good,second_quartile
156,254236,7.0,0,excellent,bottom_quartile
157,255375,6.5,0,good,bottom_quartile
158,256696,25.0,0,excellent,third_quartile
159,257822,65.0,1,excellent,top_quartile
160,259495,8.0,0,excellent,bottom_quartile
161,260461,20.0,0,good,third_quartile
162,261591,27.0,0,excellent,third_quartile
163,262566,26.0,0,good,third_quartile
164,266436,19.0,0,excellent,third_quartile
165,267361,25.0,0,excellent,third_quartile
166,269331,18.0,0,excellent,third_quartile
167,270225,2.05,0,good,bottom_quartile
168,271623,37.0,0,excellent,top_quartile
169,272616,19.0,0,good,third_quartile
170,273431,20.0,0,fair,third_quartile
171,273651,36.0,0,excellent,top_quartile
172,274536,29.0,0,excellent,third_quartile
173,275653,49.0,0,excellent,top_quartile
174,277391,21.0,0,excellent,third_quartile
175,278413,0.75,0,good,bottom_quartile
176,279534,17.0,0,fair,second_quartile
177,282691,48.0,0,excellent,top_quartile
178,283386,8.0,0,excellent,bottom_quartile
179,284426,1.5,0,good,bottom_quartile
180,285261,10.0,0,excellent,second_quartile
181,286556,19.0,0,excellent,third_quartile
182,287496,7.5,0,excellent,bottom_quartile
183,288666,10.0,0,excellent,second_quartile
184,289486,15.0,0,fair,second_quartile
185,290531,28.0,0,excellent,third_quartile
186,291286,10.0,0,excellent,second_quartile
187,293336,19.0,0,excellent,third_quartile
188,295531,35.0,0,excellent,top_quartile
189,296851,55.0,0,excellent,top_quartile
190,297285,1.5,0,very poor,bottom_quartile
191,298551,42.0,0,excellent,top_quartile
192,301251,9.0,0,good,bottom_quartile
193,303195,7.5,0,excellent,bottom_quartile
194,304561,17.0,0,excellent,second_quartile
195,305321,17.0,0,excellent,second_quartile
196,306336,16.0,0,excellent,second_quartile
197,307423,1.75,0,excellent,bottom_quartile
198,307461,36.0,0,excellent,top_quartile
199,309276,3.5,0,good,bottom_quartile
200,311251,7.5,0,good,bottom_quartile
201,312373,2.5,0,good,bottom_quartile
